feature-extraction,run#,epoch,state,AMI,ARI,NMI
tf-idf,19,250,32,0.2305306949114365,0.1647587540720742,0.23055669154021569
tf-idf,19,265,34,0.2303271605407115,0.16456872614945525,0.23035316226848845
tf-idf,19,280,36,0.23540043443149342,0.12040353547180667,0.23542799257163122
tf-idf,19,295,38,0.2305234783400222,0.1647800866800831,0.230549474564173
tf-idf,20,25,2,0.22358116676013318,0.15517270272398936,0.22360747517671378
tf-idf,20,40,4,0.11794636298628537,0.03561598351136985,0.11798037528939535
tf-idf,20,55,6,0.2289114673285655,0.16261860474771875,0.22893753733953637
tf-idf,20,70,8,0.22888712890986906,0.16265562356271138,0.22891319546017247
tf-idf,20,85,10,0.2311662047100298,0.16559463760048052,0.2311921723315996
tf-idf,20,100,12,0.23110570297963717,0.16552415922377145,0.2311316731828813
tf-idf,20,115,14,0.23554617354102678,0.12087854061013537,0.23557371663026228
tf-idf,20,130,16,0.2307946557314322,0.16515136838911484,0.23082063892142482
tf-idf,20,145,18,0.23551928128529634,0.1208146757235026,0.2355468265044192
tf-idf,20,160,20,0.23535001718847165,0.12042980181697237,0.23537757581513732
tf-idf,20,175,22,0.2294836194518475,0.1633382400771869,0.22950966240825527
tf-idf,20,190,24,0.23173447818615187,0.16651933595477952,0.23176041725718355
tf-idf,20,205,26,0.3006620115979879,0.23184335340619117,0.30068335945204133
tf-idf,20,220,28,0.23194130504227603,0.16688033600864505,0.23196723285626508
tf-idf,20,235,30,0.2303627788832854,0.1645735042604126,0.23038878187012682
tf-idf,20,250,32,0.2305306949114365,0.1647587540720742,0.23055669154021569
tf-idf,20,265,34,0.2303271605407115,0.16456872614945525,0.23035316226848845
tf-idf,20,280,36,0.23540043443149342,0.12040353547180667,0.23542799257163122
tf-idf,20,295,38,0.2305234783400222,0.1647800866800831,0.230549474564173
